Game_ID,BGG_Rank,Game_Name,Length,Width,Height,Pounds,Ounces,Ounces,Retail,Wholesale,M1,M2,M3,M4,M5,M6,M7,M8,S1,S2,S3,S4,S5,S6,S7,S8,T1,T2,T3,T4,Complexity,BGG_Rating,Economist,General,Puzzle_Solver,Collector,Casual,Gambler,Culturalist,Economist_Mechanic_Match_1,Economist_Mechanic_Match_2,Economist_Mechanic_Match_3,Economist_Mechanic_Match_4,Economist_Mechanic_Match_5,Economist_Mechanic_Match_6,Economist_Mechanic_Match_7,Economist_Mechanic_Match_8,Economist_Mechanic_Match_9,Economist Match Total,Economist_Style_Match_1,Economist_Style_Match_2,Economist_Style_Match_3,Economist_Style_Match_4,Economist_Style_Match_5,Economist_Style_Match_6,Economist_Style_Match_7,Economist_Style_Match_8,Economist_Style_Match_Total
127398,251,Legends of Andor,,,,,,0,,,Area Movement,Co-operative Play,Dice Rolling,Variable Player Powers,,,,,Adventure,Puzzle,,,,,,,Fantasy,Fighting,,,2.758,7.33029,0.6016765,0.7919118,0.6932765,0.6655971,0.6739471,0.7418118,0.7729942,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
131646,493,Merchant of Venus (second edition),,,,,,0,,,Commodity Speculation,Dice Rolling,Pick-up and Deliver,Point to Point Movement,Roll / Spin and Move,,,,Economic,Exploration,,,,,,,Science Fiction,Transportation,,,3.0697,7.24412,0.75507675,0.6762921,0.68017675,0.56400745,0.68890745,0.7260921,0.7030149,1,0,1,0,0,0,0,0,0,0.666,1,1,0,0,0,0,0,0,1
240,461,Britannia,,,,,,0,,,Area Movement,Dice Rolling,Variable Player Powers,Voting,,,,,Civilization,Wargame,,,,,,,Medieval,,,,3.1739,7.22887,0.69019675,0.8781361,0.80679675,0.74952545,0.88287545,0.9279361,0.7992009,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
172386,62,Mombasa,,,,,,0,,,Action / Movement Programming,Area Control / Area Influence,Card Drafting,Deck / Pool Building,Hand Management,Simultaneous Action Selection,Stock Holding,Variable Player Powers,Economic,,,,,,,,,,,,3.8571,8.01376,0.8346615,0.8215938,0.6096615,0.8085261,0.6168261,0.7213938,0.7253522,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
172081,292,Burgle Bros.,,,,,,0,,,Action Point Allowance System,Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Variable Player Powers,,,Exploration,,,,,,,,,,,,2.2936,7.66618,0.61034625,0.8023155,0.76854625,0.67773475,0.68608475,0.8521155,0.8139195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
215,103,Tichu,,,,,,0,,,Betting/Wagering,Hand Management,Partnerships,Trick-taking,,,,,Card Game,,,,,,,,,,,,2.3511,7.6069,0.4689495,0.4727894,0.5022995,0.6264793,0.8765793,0.5227394,0.6866086,0,1,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
156129,204,Deception: Murder in Hong Kong,,,,,,0,,,Partnerships,Storytelling,,,,,,,Bluffing,Deduction,Murder/Mystery,Party Game,,,,,,,,,1.6481,7.58308,0.49814475,0.5877737,0.56474475,0.47740265,0.44400265,0.4377737,0.6881053,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
181304,124,Mysterium,,,,,,0,,,Co-operative Play,Hand Management,Pattern Recognition,,,,,,Deduction,Murder/Mystery,Party Game,,,,,,,,,,1.9408,7.53955,0.6671665,0.6706998,0.7421165,0.6407331,0.6490831,0.6205998,0.7232662,0,1,0,0,0,0,0,0,0,0.333,1,1,1,0,0,0,0,0,1
143519,338,Quantum,,,,,,0,,,Area Control / Area Influence,Dice Rolling,Grid Movement,Modular Board,Variable Player Powers,,,,Civilization,Dice,Territory Building,,,,,,Fighting,Science Fiction,,,2.4513,7.34326,0.39365325,0.5822339,0.51025325,0.55436455,0.75441455,0.7320839,0.7255291,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
22827,301,StarCraft: The Board Game,,,,,,0,,,Area Control / Area Influence,Area Movement,Deck / Pool Building,Modular Board,Variable Player Powers,,,,Civilization,Miniatures,Territory Building,Wargame,,,,,Fighting,Science Fiction,,,3.8205,7.33999,0.6783855,0.8341626,0.6867355,0.7396897,0.5981897,0.7339626,0.7546794,0,0,1,0,0,0,0,0,0,0.333,1,1,1,1,0,0,0,0,1
125618,252,Libertalia,,,,,,0,,,Hand Management,Set Collection,Simultaneous Action Selection,Variable Phase Order,,,,,Card Game,,,,,,,,Pirates,,,,2.23,7.27258,0.68476875,0.7917225,0.69311875,0.74862625,0.60712625,0.7416225,0.7559025,1,0,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
15363,288,Nexus Ops,,,,,,0,,,Area Control / Area Influence,Dice Rolling,Hand Management,Modular Board,,,,,Exploration,,,,,,,,Fighting,Science Fiction,,,2.2278,7.26042,0.66432575,0.7172409,0.67267575,0.63675605,0.61180605,0.7170909,0.6986621,0,0,1,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
34219,255,Biblios,,,,,,0,,,Auction/Bidding,Card Drafting,Hand Management,Memory,Press Your Luck,Set Collection,,,Card Game,Economic,,,,,,,Medieval,Religious,,,1.689,7.25013,0.8608645,0.7832374,0.8775645,0.9221103,0.9220103,0.9329374,0.8108706,0,1,1,0,0,0,0,0,0,0.666,1,1,0,0,0,0,0,0,1
98778,228,Hanabi,,,,,,0,,,Co-operative Play,Hand Management,Memory,Set Collection,,,,,Card Game,Deduction,Memory,,,,,,,,,,1.6953,7.21913,0.77749,0.783088,0.87744,0.838436,0.888536,0.732988,0.810522,0,1,0,0,0,0,0,0,0,0.333,1,1,1,0,0,0,0,0,1
160499,323,King of New York,,,,,,0,,,Area Movement,Card Drafting,Dice Rolling,Player Elimination,Press Your Luck,,,,Dice,,,,,,,,Fighting,Movies / TV / Radio theme,Science Fiction,,1.8402,7.19999,0.76623775,0.8694853,0.79958775,0.82268285,0.90608285,0.9192853,0.7790157,0,1,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
478,270,Citadels,,,,,,0,,,Card Drafting,Set Collection,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers,,,,Bluffing,Card Game,City Building,,,,,,Fantasy,Medieval,,,2.0618,7.14868,0.76397175,0.9167161,0.79732175,0.90276045,0.83631045,0.9165661,0.7893209,1,0,0,0,0,0,0,0,0,0.333,0,1,1,0,0,0,0,0,1
42215,361,Tobago,,,,,,0,,,Grid Movement,Hand Management,Modular Board,Press Your Luck,,,,,Adventure,Exploration,,,,,,,,,,,2.1206,7.13226,0.46615425,0.4694351,0.56610425,0.53931595,0.73936595,0.6192851,0.6954319,0,1,0,0,0,0,0,0,0,0.333,0,1,0,0,0,0,0,0,1
243,163,Advanced Squad Leader,,,,,,0,,,Auction/Bidding,Dice Rolling,Hex-and-Counter,Modular Board,Press Your Luck,Secret Unit Deployment,Simulation,Time Track,Wargame,,,,,,,,,,,,4.6907,7.92579,0.69638125,0.8855575,0.94638125,0.92493375,0.92483375,0.9356575,0.8498175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
178900,24,Codenames,,,,,,0,,,Memory,Partnerships,Pattern Recognition,Press Your Luck,,,,,Card Game,Deduction,Party Game,Word Game,,,,,,,,,1.3749,7.91937,0.58848875,0.6761865,0.81328875,0.56388425,0.68888425,0.8258865,0.7527185,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
198773,177,Codenames: Pictures,,,,,,0,,,Memory,Partnerships,Pattern Recognition,Press Your Luck,,,,,Deduction,Party Game,,,,,,,,,,,1.45,7.62829,0.5835815,0.6702978,0.8083815,0.5570141,0.6820141,0.8199978,0.7389782,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
70512,329,Luna,,,,,,0,,,Area Control / Area Influence,Modular Board,Point to Point Movement,Tile Placement,Worker Placement,,,,,,,,,,,,Fantasy,Religious,,,3.3205,7.41178,0.75831625,0.7301295,0.68341625,0.56854275,0.62684275,0.6300795,0.7287355,0,0,0,1,1,0,0,0,0,0.666,0,0,0,0,0,0,0,0,0
167791,16,Terraforming Mars,,,,,,0,,,Card Drafting,Hand Management,Tile Placement,Variable Player Powers,,,,,Economic,Territory Building,,,,,,,Environmental,Industry / Manufacturing,Science Fiction,,3.2618,8.36395,0.83101175,0.7174641,0.60626175,0.80351645,0.64536645,0.6174141,0.6991829,1,1,1,0,0,0,0,0,0,0.999,1,1,0,0,0,0,0,0,1
158889,439,Summoner Wars: Alliances Master Set,,,,,,0,,,Dice Rolling,Grid Movement,Hand Management,Variable Player Powers,,,,,Card Game,,,,,,,,Fantasy,Fighting,,,2.697,8.34611,0.67183725,0.7762047,0.61358725,0.73052215,0.62232215,0.7261047,0.7196943,0,0,1,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
155873,145,Power Grid Deluxe: Europe/North America,,,,,,0,,,Auction/Bidding,Route/Network Building,,,,,,,Economic,,,,,,,,Industry / Manufacturing,,,,3.2245,8.15482,0.65886375,0.6607365,0.60061375,0.62910925,0.57085925,0.6106365,0.6833685,0,1,0,0,0,0,0,0,0,0.333,1,0,0,0,0,0,0,0,1
139976,227,Cthulhu Wars,,,,,,0,,,Action Point Allowance System,Area Movement,Dice Rolling,Variable Player Powers,,,,,Miniatures,,,,,,,,Fantasy,Fighting,Horror,,3.1111,8.0419,0.58047825,0.7664739,0.60547825,0.63591955,0.61096955,0.7163739,0.6969891,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
176734,472,The Manhattan Project: Energy Empire,,,,,,0,,,Dice Rolling,Worker Placement,,,,,,,Civilization,Dice,Economic,,,,,,Environmental,Industry / Manufacturing,,,3.1667,8.02616,0.66112875,0.6634545,0.60287875,0.54903025,0.60733025,0.6133545,0.6730605,0,1,0,0,0,0,0,0,0,0.333,1,1,1,0,0,0,0,0,1
163745,159,Star Wars: Armada,,,,,,0,,,Action / Movement Programming,Dice Rolling,Variable Player Powers,,,,,,Collectible Components,Miniatures,Wargame,,,,,,Movies / TV / Radio theme,Science Fiction,,,3.092,8.0168,0.59832975,0.7379457,0.62332975,0.66091165,0.63596165,0.7377957,0.7469733,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
171623,35,The Voyages of Marco Polo,,,,,,0,,,Card Drafting,Dice Rolling,Point to Point Movement,Set Collection,Variable Player Powers,Worker Placement,,,Dice,Economic,,,,,,,Medieval,Travel,,,3.1784,7.99902,0.5632185,0.4860122,0.4467185,0.7251559,0.7920059,0.6358622,0.7174618,1,0,0,0,0,1,0,0,0,0.666,1,1,0,0,0,0,0,0,1
